ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000022
ref_EMBL_files	JF683807.embl
ref_bases	8140
ref_sequences	1
ref_bases_assembled	8140
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	0
assembly_bases	431941
assembly_bases_in_ref	29799
assembly_contigs	2881
assembly_contigs_hit_ref	8
assembly_bases_reads_disagree	364
assembly_sum_longest_match_each_segment	9064
cds_number	9
cds_assembled	4
cds_assembled_ok	0
gage_Missing_Reference_Bases	709
gage_Missing_Assembly_Bases	403928
gage_Missing_Assembly_Contigs	2876
gage_Duplicated_Reference_Bases	20585
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	3030
gage_Avg_Idy	90.53
gage_SNPs	680
gage_Indels_<_5bp	25
gage_Indels_>=_5	4
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	54
ratt_elements_transferred	54
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
