ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000017
ref_EMBL_files	JX140656.embl
ref_bases	8958
ref_sequences	1
ref_bases_assembled	8874
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	0
assembly_bases	1960477
assembly_bases_in_ref	22562
assembly_contigs	16227
assembly_contigs_hit_ref	13
assembly_bases_reads_disagree	2402
assembly_sum_longest_match_each_segment	7417
cds_number	8
cds_assembled	7
cds_assembled_ok	0
gage_Missing_Reference_Bases	465
gage_Missing_Assembly_Bases	1939669
gage_Missing_Assembly_Contigs	16220
gage_Duplicated_Reference_Bases	12294
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	1526
gage_Avg_Idy	90.63
gage_SNPs	780
gage_Indels_<_5bp	16
gage_Indels_>=_5	4
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	19
ratt_elements_transferred	15
ratt_elements_transferred_partially	2
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	4
ratt_elements_not_transferred	2
ratt_gene_models_to_transfer	8
ratt_gene_models_transferred	6
ratt_gene_models_transferred_partially	2
ratt_exons_not_transferred_from_partial_matches	2
ratt_gene_models_not_transferred	0
