ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000066
ref_EMBL_files	AY253311.embl
ref_bases	8775
ref_sequences	1
ref_bases_assembled	8723
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	0
assembly_bases	453973
assembly_bases_in_ref	31008
assembly_contigs	3181
assembly_contigs_hit_ref	7
assembly_bases_reads_disagree	374
assembly_sum_longest_match_each_segment	9039
cds_number	8
cds_assembled	5
cds_assembled_ok	0
gage_Missing_Reference_Bases	3313
gage_Missing_Assembly_Bases	429721
gage_Missing_Assembly_Contigs	3175
gage_Duplicated_Reference_Bases	18792
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	8390
gage_Avg_Idy	90.1
gage_SNPs	516
gage_Indels_<_5bp	26
gage_Indels_>=_5	2
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	19
ratt_elements_transferred	19
ratt_elements_transferred_partially	0
ratt_elements_split	6
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	8
ratt_gene_models_transferred	8
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
