ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000046
ref_EMBL_files	EU884500.embl
ref_bases	8921
ref_sequences	1
ref_bases_assembled	8920
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	0
assembly_bases	752755
assembly_bases_in_ref	23014
assembly_contigs	7098
assembly_contigs_hit_ref	13
assembly_bases_reads_disagree	460
assembly_sum_longest_match_each_segment	9120
cds_number	7
cds_assembled	6
cds_assembled_ok	2
gage_Missing_Reference_Bases	1246
gage_Missing_Assembly_Bases	733159
gage_Missing_Assembly_Contigs	7092
gage_Duplicated_Reference_Bases	11922
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	3012
gage_Avg_Idy	91.7
gage_SNPs	575
gage_Indels_<_5bp	31
gage_Indels_>=_5	1
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	22
ratt_elements_transferred	22
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	7
ratt_gene_models_transferred	7
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
