ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000114
ref_EMBL_files	AF492624.embl
ref_bases	9017
ref_sequences	1
ref_bases_assembled	8906
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	0
assembly_bases	872518
assembly_bases_in_ref	14412
assembly_contigs	9430
assembly_contigs_hit_ref	16
assembly_bases_reads_disagree	478
assembly_sum_longest_match_each_segment	9213
cds_number	9
cds_assembled	5
cds_assembled_ok	2
gage_Missing_Reference_Bases	1509
gage_Missing_Assembly_Bases	861611
gage_Missing_Assembly_Contigs	9423
gage_Duplicated_Reference_Bases	3327
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	840
gage_Avg_Idy	88.75
gage_SNPs	805
gage_Indels_<_5bp	48
gage_Indels_>=_5	1
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	20
ratt_elements_transferred	20
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
