ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000033
ref_EMBL_files	AY423387.embl
ref_bases	9359
ref_sequences	1
ref_bases_assembled	9096
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	0
assembly_bases	780471
assembly_bases_in_ref	31941
assembly_contigs	6707
assembly_contigs_hit_ref	18
assembly_bases_reads_disagree	600
assembly_sum_longest_match_each_segment	9161
cds_number	9
cds_assembled	9
cds_assembled_ok	0
gage_Missing_Reference_Bases	342
gage_Missing_Assembly_Bases	750859
gage_Missing_Assembly_Contigs	6700
gage_Duplicated_Reference_Bases	20604
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	293
gage_Avg_Idy	90.28
gage_SNPs	820
gage_Indels_<_5bp	51
gage_Indels_>=_5	2
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	20
ratt_elements_transferred	20
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
