ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000026
ref_EMBL_files	GU362881.embl
ref_bases	8911
ref_sequences	1
ref_bases_assembled	8911
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	0
assembly_bases	242047
assembly_bases_in_ref	49813
assembly_contigs	2140
assembly_contigs_hit_ref	7
assembly_bases_reads_disagree	93
assembly_sum_longest_match_each_segment	9149
cds_number	9
cds_assembled	6
cds_assembled_ok	0
gage_Missing_Reference_Bases	552
gage_Missing_Assembly_Bases	195170
gage_Missing_Assembly_Contigs	2134
gage_Duplicated_Reference_Bases	38042
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	3325
gage_Avg_Idy	90.86
gage_SNPs	635
gage_Indels_<_5bp	38
gage_Indels_>=_5	3
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	21
ratt_elements_transferred	21
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
