ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000064
ref_EMBL_files	AB485648.embl
ref_bases	9633
ref_sequences	1
ref_bases_assembled	9040
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	226
assembly_bases	286960
assembly_bases_in_ref	25871
assembly_contigs	2024
assembly_contigs_hit_ref	4
assembly_bases_reads_disagree	108
assembly_sum_longest_match_each_segment	9206
cds_number	9
cds_assembled	4
cds_assembled_ok	0
gage_Missing_Reference_Bases	2232
gage_Missing_Assembly_Bases	264696
gage_Missing_Assembly_Contigs	2020
gage_Duplicated_Reference_Bases	14857
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	4690
gage_Avg_Idy	89.54
gage_SNPs	743
gage_Indels_<_5bp	34
gage_Indels_>=_5	2
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	21
ratt_elements_transferred	21
ratt_elements_transferred_partially	0
ratt_elements_split	6
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
