ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000115
ref_EMBL_files	AF385936.embl
ref_bases	9704
ref_sequences	1
ref_bases_assembled	8446
ref_sequences_assembled	0
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	772
assembly_bases	284061
assembly_bases_in_ref	16580
assembly_contigs	2535
assembly_contigs_hit_ref	12
assembly_bases_reads_disagree	46
assembly_sum_longest_match_each_segment	9203
cds_number	9
cds_assembled	6
cds_assembled_ok	0
gage_Missing_Reference_Bases	1562
gage_Missing_Assembly_Bases	269697
gage_Missing_Assembly_Contigs	2530
gage_Duplicated_Reference_Bases	6657
gage_Compressed_Reference_Bases	432
gage_Bad_Trim	4055
gage_Avg_Idy	88.74
gage_SNPs	822
gage_Indels_<_5bp	49
gage_Indels_>=_5	1
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	21
ratt_elements_transferred	21
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
