ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000046
ref_EMBL_files	EU884500.embl
ref_bases	8921
ref_sequences	1
ref_bases_assembled	8492
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	374
assembly_bases	2111744
assembly_bases_in_ref	25874
assembly_contigs	19265
assembly_contigs_hit_ref	16
assembly_bases_reads_disagree	1752
assembly_sum_longest_match_each_segment	7975
cds_number	7
cds_assembled	5
cds_assembled_ok	0
gage_Missing_Reference_Bases	1812
gage_Missing_Assembly_Bases	2092387
gage_Missing_Assembly_Contigs	19260
gage_Duplicated_Reference_Bases	8733
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	6464
gage_Avg_Idy	91.75
gage_SNPs	308
gage_Indels_<_5bp	14
gage_Indels_>=_5	2
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	22
ratt_elements_transferred	22
ratt_elements_transferred_partially	0
ratt_elements_split	2
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	7
ratt_gene_models_transferred	7
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
