ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000003
ref_EMBL_files	EU861977.embl
ref_bases	9781
ref_sequences	1
ref_bases_assembled	9103
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	243
assembly_bases	909385
assembly_bases_in_ref	22765
assembly_contigs	11325
assembly_contigs_hit_ref	7
assembly_bases_reads_disagree	97
assembly_sum_longest_match_each_segment	9236
cds_number	9
cds_assembled	3
cds_assembled_ok	0
gage_Missing_Reference_Bases	5327
gage_Missing_Assembly_Bases	897105
gage_Missing_Assembly_Contigs	11321
gage_Duplicated_Reference_Bases	7820
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	8894
gage_Avg_Idy	87.47
gage_SNPs	502
gage_Indels_<_5bp	26
gage_Indels_>=_5	1
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	21
ratt_elements_transferred	21
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
